Page No
Page_17

Date Transaction Chq/Ref. No Value Debit Amount Credit Amount Closing Balance Description Date 18-Apr-2022 RTGS Cr-ICIC00ICBLP- ICICR220220418000 18-Apr-2022 929,802.00 -101,923,452.86 BHARAT SALES CORPOR 05162 18-Apr-2022 RTGS Cr-AMDN0000102- AMDNR520220418004 18-Apr-2022 250,000.00 -101,673,452.86 SHRI SAIBABA AGENCI 86402 18-Apr-2022 RTGS Cr-ICIC0000011- ICICR420220418005 18-Apr-2022 2,467,521.00 -99,205,931.86 DIPTI VEGOILS LIMIT 16398 18-Apr-2022 IMPS-210812754139- 210812754139 18-Apr-2022 67,000.00 -99,138,931.86 MAHAVIR SALES CORPOR- 18-Apr-2022 RTGS Cr-AMDN0000110- AMDNR520220418004 18-Apr-2022 1,500,000.00 -97,638,931.86 SHIVSAGAR KIRANA AN 86895 18-Apr-2022 RTGS Cr-BKID0000200- BKIDR520220418003 18-Apr-2022 281,812.88 -97,357,118.98 EDIBLE TRADERS-DEEP 24757 18-Apr-2022 RTGS Cr-AMDN0000102- AMDNR520220418004 18-Apr-2022 400,000.00 -96,957,118.98 SHRI SAIBABA AGENCI 87023 18-Apr-2022 00362790001186 204189406982 18-Apr-2022 7,560,000.00 -104,517,118.98 18-Apr-2022 RTGS Cr-MAHB0000171- MAHBR520220418118 18-Apr-2022 725,000.00 -103,792,118.98 EDIBLE TRADERS-DEEP 75401 18-Apr-2022 RTGS Cr-BKID0000200- BKIDR520220418004 18-Apr-2022 1,084,131.95 -102,707,987.03 EDIBLE TRADERS-DEEP 27099 18-Apr-2022 NEFT Cr-SDCE0001317-SAI SDCEH22108001828 18-Apr-2022 55,087.00 -102,652,900.03 KIRANA-DEEPLAXM 18-Apr-2022 RTGS Cr-CBIN0280654-B N CBINR520220418100 18-Apr-2022 235,001.00 -102,417,899.03 KHATER AND CO-D 10102 18-Apr-2022 DEEPLAXMI AGRO- 204189610973 18-Apr-2022 1,400,000.00 -101,017,899.03 18-Apr-2022 RTGS Dr-KKBK0000824- HDFCR520220418619 18-Apr-2022 4,007,440.00 -105,025,339.03 SAHYOGINDUSTRIES-NE 60735 18-Apr-2022 RTGS Cr-AMDN0000102- AMDNR520220418004 18-Apr-2022 486,725.00 -104,538,614.03 SHRI SAIBABA AGENCI 88064 18-Apr-2022 59209881919196-TPT-Oil- 000144959033 18-Apr-2022 469,475.00 -104,069,139.03 MAHAVIR TRADING 18-Apr-2022 RTGS Cr-JSBP0000006- JSBPR520220418006 18-Apr-2022 210,000.00 -103,859,139.03 2301/10763 MEGHHANS 00517 18-Apr-2022 RTGS Cr-BARB0JALGAO- BARBR220220418202 18-Apr-2022 4,026,330.00 -99,832,809.03 SHRI VENKATESH REFI 19009 18-Apr-2022 50200010678959007110100 204189615562 18-Apr-2022 58,875.00 -99,773,934.03 006503 18-Apr-2022 RTGS Cr-MAHB0001833- MAHBR520220418118 18-Apr-2022 839,526.00 -98,934,408.03 POPATLAL LALCHAND M 79984 18-Apr-2022 CHQ DEP - MICR CLG - 000000000582 19-Apr-2022 591,750.00 -98,342,658.03 MODEL COLONY-PUNE: 18-Apr-2022 CHQ DEP RET- FUNDS 000000169637 18-Apr-2022 20,000.00 -98,362,658.03 INSUFFICIENT 18-Apr-2022 CHQ DEP MICR8 CLG MODEL 000000717268 19-Apr-2022 118,750.00 -98,243,908.03 COLONY - MICR 8 18-Apr-2022 CHQ DEP MICR8 CLG MODEL 000000001503 19-Apr-2022 50,370.00 -98,193,538.03 COLONY - MICR 8 HDFC BANK LIMITED *Closing Balance includes funds earmarked for hold and uncleared funds. Contents of this statement will be considered correct if no error is reported within 30 days of receipt of statement. HDFC Bank Service Tax Registration Number: M-IV/ST/BANK & OTHER SERVICES /20/2001 Registered Office Address: HDFC Bank House, Senapati Bapat Marg, Lower Parel, Mumbai 400013. 04-May-2022 10:52:31 Page 17 of 33

Date;"Transaction
Description";Chq/Ref. No;"Value
Date";Debit Amount;Credit Amount;Closing Balance
18-Apr-2022;"RTGS Cr-ICIC00ICBLP-
BHARAT SALES CORPOR";"ICICR220220418000
05162";18-Apr-2022;;929,802.00;-101,923,452.86
18-Apr-2022;"RTGS Cr-AMDN0000102-
SHRI SAIBABA AGENCI";"AMDNR520220418004
86402";18-Apr-2022;;250,000.00;-101,673,452.86
18-Apr-2022;"RTGS Cr-ICIC0000011-
DIPTI VEGOILS LIMIT";"ICICR420220418005
16398";18-Apr-2022;;2,467,521.00;-99,205,931.86
18-Apr-2022;"IMPS-210812754139-
MAHAVIR SALES CORPOR-";210812754139;18-Apr-2022;;67,000.00;-99,138,931.86
18-Apr-2022;"RTGS Cr-AMDN0000110-
SHIVSAGAR KIRANA AN";"AMDNR520220418004
86895";18-Apr-2022;;1,500,000.00;-97,638,931.86
18-Apr-2022;"RTGS Cr-BKID0000200-
EDIBLE TRADERS-DEEP";"BKIDR520220418003
24757";18-Apr-2022;;281,812.88;-97,357,118.98
18-Apr-2022;"RTGS Cr-AMDN0000102-
SHRI SAIBABA AGENCI";"AMDNR520220418004
87023";18-Apr-2022;;400,000.00;-96,957,118.98
18-Apr-2022;00362790001186;204189406982;18-Apr-2022;7,560,000.00;;-104,517,118.98
18-Apr-2022;"RTGS Cr-MAHB0000171-
EDIBLE TRADERS-DEEP";"MAHBR520220418118
75401";18-Apr-2022;;725,000.00;-103,792,118.98
18-Apr-2022;"RTGS Cr-BKID0000200-
EDIBLE TRADERS-DEEP";"BKIDR520220418004
27099";18-Apr-2022;;1,084,131.95;-102,707,987.03
18-Apr-2022;"NEFT Cr-SDCE0001317-SAI
KIRANA-DEEPLAXM";SDCEH22108001828;18-Apr-2022;;55,087.00;-102,652,900.03
18-Apr-2022;"RTGS Cr-CBIN0280654-B N
KHATER AND CO-D";"CBINR520220418100
10102";18-Apr-2022;;235,001.00;-102,417,899.03
18-Apr-2022;DEEPLAXMI AGRO-;204189610973;18-Apr-2022;;1,400,000.00;-101,017,899.03
18-Apr-2022;"RTGS Dr-KKBK0000824-
SAHYOGINDUSTRIES-NE";"HDFCR520220418619
60735";18-Apr-2022;4,007,440.00;;-105,025,339.03
18-Apr-2022;"RTGS Cr-AMDN0000102-
SHRI SAIBABA AGENCI";"AMDNR520220418004
88064";18-Apr-2022;;486,725.00;-104,538,614.03
18-Apr-2022;"59209881919196-TPT-Oil-
MAHAVIR TRADING";000144959033;18-Apr-2022;;469,475.00;-104,069,139.03
18-Apr-2022;"RTGS Cr-JSBP0000006-
2301/10763 MEGHHANS";"JSBPR520220418006
00517";18-Apr-2022;;210,000.00;-103,859,139.03
18-Apr-2022;"RTGS Cr-BARB0JALGAO-
SHRI VENKATESH REFI";"BARBR220220418202
19009";18-Apr-2022;;4,026,330.00;-99,832,809.03
18-Apr-2022;"50200010678959007110100
006503";204189615562;18-Apr-2022;;58,875.00;-99,773,934.03
18-Apr-2022;"RTGS Cr-MAHB0001833-
POPATLAL LALCHAND M";"MAHBR520220418118
79984";18-Apr-2022;;839,526.00;-98,934,408.03
18-Apr-2022;"CHQ DEP - MICR CLG -
MODEL COLONY-PUNE:";000000000582;19-Apr-2022;;591,750.00;-98,342,658.03
18-Apr-2022;"CHQ DEP RET- FUNDS
INSUFFICIENT";000000169637;18-Apr-2022;20,000.00;;-98,362,658.03
18-Apr-2022;"CHQ DEP MICR8 CLG MODEL
COLONY - MICR 8";000000717268;19-Apr-2022;;118,750.00;-98,243,908.03
18-Apr-2022;"CHQ DEP MICR8 CLG MODEL
COLONY - MICR 8";000000001503;19-Apr-2022;;50,370.00;-98,193,538.03

