Page No
Page_18

Date Transaction Chq/Ref. No Value Debit Amount Credit Amount Closing Balance Description Date 18-Apr-2022 CHQ DEP MICR8 CLG MODEL 000000001504 19-Apr-2022 73,760.00 -98,119,778.03 COLONY - MICR 8 18-Apr-2022 CHQ DEP MICR8 CLG MODEL 000000274324 19-Apr-2022 95,375.00 -98,024,403.03 COLONY - MICR 8 18-Apr-2022 CHQ DEP MICR8 CLG MODEL 000000177601 19-Apr-2022 17,920.00 -98,006,483.03 COLONY - MICR 8 18-Apr-2022 CHQ DEP MICR8 CLG MODEL 000000718770 19-Apr-2022 237,890.00 -97,768,593.03 COLONY - MICR 8 18-Apr-2022 CHQ DEP MICR8 CLG MODEL 000000012836 19-Apr-2022 7,800.00 -97,760,793.03 COLONY - MICR 8 18-Apr-2022 CHQ DEP MICR8 CLG MODEL 000000000101 19-Apr-2022 25,800.00 -97,734,993.03 COLONY - MICR 8 18-Apr-2022 CHQ DEP MICR8 CLG MODEL 000000063043 19-Apr-2022 19,280.00 -97,715,713.03 COLONY - MICR 8 18-Apr-2022 204180060007GOVARDHANDA N108221922144955 18-Apr-2022 1,865.00 -97,717,578.03 S MANGALURAM GO 18-Apr-2022 204180060008DALAL N108221922160454 18-Apr-2022 2,610.00 -97,720,188.03 PREMSUKH BORA 18-Apr-2022 09988130000017 204180062773 18-Apr-2022 77,469.00 -97,797,657.03 18-Apr-2022 FT - Dr - 000000003151 18-Apr-2022 100,000.00 -97,897,657.03 50200043265250 - SALASAR WARE 18-Apr-2022 IMPS-210819334056-SHREE 210819334056 18-Apr-2022 95,680.00 -97,801,977.03 BALAJI ENTERPR- 19-Apr-2022 NEFT Cr-JSBP0000006- R006221080000186 19-Apr-2022 180,606.00 -97,621,371.03 2301/10763 MEGHHANS 19-Apr-2022 NEFT Cr-PYTM0123456- PYTM221095185682 19-Apr-2022 41,020.00 -97,580,351.03 ONE97 COMMUNICATION 19-Apr-2022 Chq Paid-MICR CTS-MU- 000000003126 19-Apr-2022 63,768.00 -97,644,119.03 WAGHELA TIN SUPPLY 19-Apr-2022 Chq Paid-MICR CTS-MU- 000000003172 19-Apr-2022 72,864.00 -97,716,983.03 SITARAM RAMRAJ VER 19-Apr-2022 Chq Paid-MICR CTS-MU- 000000003127 19-Apr-2022 19,044.00 -97,736,027.03 WAGHELA TIN SUPPLY 19-Apr-2022 RTGS Dr-CBIN0280682- HDFCR520220419621 19-Apr-2022 1,725,230.00 -99,461,257.03 KIRTIAGROVETLIMITED 05959 19-Apr-2022 RTGS Cr-AMDN0000102- AMDNR520220419004 19-Apr-2022 514,426.00 -98,946,831.03 SHRI SAIBABA AGENCI 90672 19-Apr-2022 RTGS Cr-BKID0000200- BKIDR520220419008 19-Apr-2022 954,772.71 -97,992,058.32 EDIBLE TRADERS-DEEP 58352 19-Apr-2022 FT - Dr - 000000003152 19-Apr-2022 100,000.00 -98,092,058.32 50200043265250 - SALASAR WARE 19-Apr-2022 59209860477341 204190685969 19-Apr-2022 3,890,000.00 -101,982,058.32 19-Apr-2022 RTGS Cr-MAHB0000171- MAHBR520220419118 19-Apr-2022 1,175,000.00 -100,807,058.32 EDIBLE TRADERS-DEEP 82433 19-Apr-2022 NEFT Cr-BARB0MODNIM- BARBX22109560989 19-Apr-2022 118,110.00 -100,688,948.32 RUPMANGAL KIRANA ST HDFC BANK LIMITED *Closing Balance includes funds earmarked for hold and uncleared funds. Contents of this statement will be considered correct if no error is reported within 30 days of receipt of statement. HDFC Bank Service Tax Registration Number: M-IV/ST/BANK & OTHER SERVICES /20/2001 Registered Office Address: HDFC Bank House, Senapati Bapat Marg, Lower Parel, Mumbai 400013. 04-May-2022 10:52:31 Page 18 of 33

Date;"Transaction
Description";Chq/Ref. No;"Value
Date";Debit Amount;Credit Amount;Closing Balance
18-Apr-2022;"CHQ DEP MICR8 CLG MODEL
COLONY - MICR 8";000000001504;19-Apr-2022;;73,760.00;-98,119,778.03
18-Apr-2022;"CHQ DEP MICR8 CLG MODEL
COLONY - MICR 8";000000274324;19-Apr-2022;;95,375.00;-98,024,403.03
18-Apr-2022;"CHQ DEP MICR8 CLG MODEL
COLONY - MICR 8";000000177601;19-Apr-2022;;17,920.00;-98,006,483.03
18-Apr-2022;"CHQ DEP MICR8 CLG MODEL
COLONY - MICR 8";000000718770;19-Apr-2022;;237,890.00;-97,768,593.03
18-Apr-2022;"CHQ DEP MICR8 CLG MODEL
COLONY - MICR 8";000000012836;19-Apr-2022;;7,800.00;-97,760,793.03
18-Apr-2022;"CHQ DEP MICR8 CLG MODEL
COLONY - MICR 8";000000000101;19-Apr-2022;;25,800.00;-97,734,993.03
18-Apr-2022;"CHQ DEP MICR8 CLG MODEL
COLONY - MICR 8";000000063043;19-Apr-2022;;19,280.00;-97,715,713.03
18-Apr-2022;"204180060007GOVARDHANDA
S MANGALURAM GO";N108221922144955;18-Apr-2022;1,865.00;;-97,717,578.03
18-Apr-2022;"204180060008DALAL
PREMSUKH BORA";N108221922160454;18-Apr-2022;2,610.00;;-97,720,188.03
18-Apr-2022;09988130000017;204180062773;18-Apr-2022;77,469.00;;-97,797,657.03
18-Apr-2022;"FT - Dr -
50200043265250 -
SALASAR WARE";000000003151;18-Apr-2022;100,000.00;;-97,897,657.03
18-Apr-2022;"IMPS-210819334056-SHREE
BALAJI ENTERPR-";210819334056;18-Apr-2022;;95,680.00;-97,801,977.03
19-Apr-2022;"NEFT Cr-JSBP0000006-
2301/10763 MEGHHANS";R006221080000186;19-Apr-2022;;180,606.00;-97,621,371.03
19-Apr-2022;"NEFT Cr-PYTM0123456-
ONE97 COMMUNICATION";PYTM221095185682;19-Apr-2022;;41,020.00;-97,580,351.03
19-Apr-2022;"Chq Paid-MICR CTS-MU-
WAGHELA TIN SUPPLY";000000003126;19-Apr-2022;63,768.00;;-97,644,119.03
19-Apr-2022;"Chq Paid-MICR CTS-MU-
SITARAM RAMRAJ VER";000000003172;19-Apr-2022;72,864.00;;-97,716,983.03
19-Apr-2022;"Chq Paid-MICR CTS-MU-
WAGHELA TIN SUPPLY";000000003127;19-Apr-2022;19,044.00;;-97,736,027.03
19-Apr-2022;"RTGS Dr-CBIN0280682-
KIRTIAGROVETLIMITED";"HDFCR520220419621
05959";19-Apr-2022;1,725,230.00;;-99,461,257.03
19-Apr-2022;"RTGS Cr-AMDN0000102-
SHRI SAIBABA AGENCI";"AMDNR520220419004
90672";19-Apr-2022;;514,426.00;-98,946,831.03
19-Apr-2022;"RTGS Cr-BKID0000200-
EDIBLE TRADERS-DEEP";"BKIDR520220419008
58352";19-Apr-2022;;954,772.71;-97,992,058.32
19-Apr-2022;"FT - Dr -
50200043265250 -
SALASAR WARE";000000003152;19-Apr-2022;100,000.00;;-98,092,058.32
19-Apr-2022;59209860477341;204190685969;19-Apr-2022;3,890,000.00;;-101,982,058.32
19-Apr-2022;"RTGS Cr-MAHB0000171-
EDIBLE TRADERS-DEEP";"MAHBR520220419118
82433";19-Apr-2022;;1,175,000.00;-100,807,058.32
19-Apr-2022;"NEFT Cr-BARB0MODNIM-
RUPMANGAL KIRANA ST";BARBX22109560989;19-Apr-2022;;118,110.00;-100,688,948.32

