Page No
Page_22

Date Transaction Chq/Ref. No Value Debit Amount Credit Amount Closing Balance Description Date 22-Apr-2022 RTGS Dr-UTIB0004693- HDFCR520220422630 22-Apr-2022 3,970,000.00 -99,261,100.27 GURUKRUPATRADINGCO- 46577 22-Apr-2022 FT-FRIOIL116968- 204225259503 22-Apr-2022 4,000,000.00 -103,261,100.27 FRIGORIFICO ALLANA LTD. 22-Apr-2022 RTGS Cr-ICIC00ICBLP- ICICR220220422000 22-Apr-2022 698,702.00 -102,562,398.27 BHARAT SALES CORPOR 05989 22-Apr-2022 RTGS Cr-VSBL0000003- VSBLR520220422000 22-Apr-2022 703,909.00 -101,858,489.27 JAWAHARLAL DUGAD AN 43981 22-Apr-2022 RTGS Cr-MAHB0000171- MAHBR520220422119 22-Apr-2022 750,000.00 -101,108,489.27 EDIBLE TRADERS-DEEP 11396 22-Apr-2022 RTGS Cr-ICIC0000011- ICICR420220422005 22-Apr-2022 450,000.00 -100,658,489.27 ZULELAL PROVISION-D 28674 22-Apr-2022 RTGS Cr-ICIC0000011- ICICR420220422005 22-Apr-2022 550,000.00 -100,108,489.27 ZULELAL PROVISION-D 28915 22-Apr-2022 RTGS Cr-AMDN0000110- AMDNR520220422005 22-Apr-2022 800,000.00 -99,308,489.27 SHIVSAGAR KIRANA AN 04061 22-Apr-2022 FT - C75550220422161207 202719567 22-Apr-2022 89,167.00 -99,219,322.27 - - 5920986047 22-Apr-2022 RTGS Cr-BKID0000200- BKIDR520220422001 22-Apr-2022 861,612.67 -98,357,709.60 EDIBLE TRADERS-DEEP 93899 22-Apr-2022 CHQ DEP - MICR CLG - 000000448047 25-Apr-2022 107,250.00 -98,250,459.60 MODEL COLONY-PUNE: 22-Apr-2022 CHQ DEP - MICR CLG - 000000990721 25-Apr-2022 820,502.00 -97,429,957.60 MODEL COLONY-PUNE: 22-Apr-2022 CHQ DEP - MICR CLG - 000000718768 25-Apr-2022 284,275.00 -97,145,682.60 MODEL COLONY-PUNE: 22-Apr-2022 CHQ DEP - MICR CLG - 000000257751 25-Apr-2022 21,500.00 -97,124,182.60 MODEL COLONY-PUNE: 22-Apr-2022 CHQ DEP - MICR CLG - 000000274265 25-Apr-2022 43,830.00 -97,080,352.60 MODEL COLONY-PUNE: 22-Apr-2022 RTGS Cr-KKBK0000958- KKBKR520220422009 22-Apr-2022 509,468.00 -96,570,884.60 SHREE SAIBABA AGENC 44355 22-Apr-2022 RTGS Cr-CBIN0282512- CBINR520220422100 22-Apr-2022 248,900.00 -96,321,984.60 ANAND TRADERS SUSH 14945 22-Apr-2022 IMPS-211219375100- 211219375100 22-Apr-2022 200,000.00 -96,121,984.60 ZULELAL PROVISION-ICI 22-Apr-2022 IMPS-211219381018- 211219381018 22-Apr-2022 100,000.00 -96,021,984.60 ZULELAL PROVISION-ICI 22-Apr-2022 IMPS-211219385079- 211219385079 22-Apr-2022 200,000.00 -95,821,984.60 ZULELAL PROVISION-ICI 23-Apr-2022 NEFT Cr-PYTM0123456- PYTM221137197262 23-Apr-2022 99,050.00 -95,722,934.60 ONE97 COMMUNICATION 23-Apr-2022 204236750172UMESH YADAV N113221928475890 23-Apr-2022 15,000.00 -95,737,934.60 23-Apr-2022 FT - C76605230422114057 202927343 23-Apr-2022 800,000.00 -94,937,934.60 - - 5020001858 23-Apr-2022 DEEPLAXMI AGRO- 204237212641 23-Apr-2022 932,800.00 -94,005,134.60 HDFC BANK LIMITED *Closing Balance includes funds earmarked for hold and uncleared funds. Contents of this statement will be considered correct if no error is reported within 30 days of receipt of statement. HDFC Bank Service Tax Registration Number: M-IV/ST/BANK & OTHER SERVICES /20/2001 Registered Office Address: HDFC Bank House, Senapati Bapat Marg, Lower Parel, Mumbai 400013. 04-May-2022 10:52:31 Page 22 of 33

Date;"Transaction
Description";Chq/Ref. No;"Value
Date";Debit Amount;Credit Amount;Closing Balance
22-Apr-2022;"RTGS Dr-UTIB0004693-
GURUKRUPATRADINGCO-";"HDFCR520220422630
46577";22-Apr-2022;3,970,000.00;;-99,261,100.27
22-Apr-2022;"FT-FRIOIL116968-
FRIGORIFICO ALLANA LTD.";204225259503;22-Apr-2022;4,000,000.00;;-103,261,100.27
22-Apr-2022;"RTGS Cr-ICIC00ICBLP-
BHARAT SALES CORPOR";"ICICR220220422000
05989";22-Apr-2022;;698,702.00;-102,562,398.27
22-Apr-2022;"RTGS Cr-VSBL0000003-
JAWAHARLAL DUGAD AN";"VSBLR520220422000
43981";22-Apr-2022;;703,909.00;-101,858,489.27
22-Apr-2022;"RTGS Cr-MAHB0000171-
EDIBLE TRADERS-DEEP";"MAHBR520220422119
11396";22-Apr-2022;;750,000.00;-101,108,489.27
22-Apr-2022;"RTGS Cr-ICIC0000011-
ZULELAL PROVISION-D";"ICICR420220422005
28674";22-Apr-2022;;450,000.00;-100,658,489.27
22-Apr-2022;"RTGS Cr-ICIC0000011-
ZULELAL PROVISION-D";"ICICR420220422005
28915";22-Apr-2022;;550,000.00;-100,108,489.27
22-Apr-2022;"RTGS Cr-AMDN0000110-
SHIVSAGAR KIRANA AN";"AMDNR520220422005
04061";22-Apr-2022;;800,000.00;-99,308,489.27
22-Apr-2022;"FT - C75550220422161207
- - 5920986047";202719567;22-Apr-2022;;89,167.00;-99,219,322.27
22-Apr-2022;"RTGS Cr-BKID0000200-
EDIBLE TRADERS-DEEP";"BKIDR520220422001
93899";22-Apr-2022;;861,612.67;-98,357,709.60
22-Apr-2022;"CHQ DEP - MICR CLG -
MODEL COLONY-PUNE:";000000448047;25-Apr-2022;;107,250.00;-98,250,459.60
22-Apr-2022;"CHQ DEP - MICR CLG -
MODEL COLONY-PUNE:";000000990721;25-Apr-2022;;820,502.00;-97,429,957.60
22-Apr-2022;"CHQ DEP - MICR CLG -
MODEL COLONY-PUNE:";000000718768;25-Apr-2022;;284,275.00;-97,145,682.60
22-Apr-2022;"CHQ DEP - MICR CLG -
MODEL COLONY-PUNE:";000000257751;25-Apr-2022;;21,500.00;-97,124,182.60
22-Apr-2022;"CHQ DEP - MICR CLG -
MODEL COLONY-PUNE:";000000274265;25-Apr-2022;;43,830.00;-97,080,352.60
22-Apr-2022;"RTGS Cr-KKBK0000958-
SHREE SAIBABA AGENC";"KKBKR520220422009
44355";22-Apr-2022;;509,468.00;-96,570,884.60
22-Apr-2022;"RTGS Cr-CBIN0282512-
ANAND TRADERS SUSH";"CBINR520220422100
14945";22-Apr-2022;;248,900.00;-96,321,984.60
22-Apr-2022;"IMPS-211219375100-
ZULELAL PROVISION-ICI";211219375100;22-Apr-2022;;200,000.00;-96,121,984.60
22-Apr-2022;"IMPS-211219381018-
ZULELAL PROVISION-ICI";211219381018;22-Apr-2022;;100,000.00;-96,021,984.60
22-Apr-2022;"IMPS-211219385079-
ZULELAL PROVISION-ICI";211219385079;22-Apr-2022;;200,000.00;-95,821,984.60
23-Apr-2022;"NEFT Cr-PYTM0123456-
ONE97 COMMUNICATION";PYTM221137197262;23-Apr-2022;;99,050.00;-95,722,934.60
23-Apr-2022;204236750172UMESH YADAV;N113221928475890;23-Apr-2022;15,000.00;;-95,737,934.60
23-Apr-2022;"FT - C76605230422114057
- - 5020001858";202927343;23-Apr-2022;;800,000.00;-94,937,934.60
23-Apr-2022;DEEPLAXMI AGRO-;204237212641;23-Apr-2022;;932,800.00;-94,005,134.60

